Company Name,Symbols,,,
ABB India Ltd,ABB.BO,,,
Aegis Logistics Ltd,AEGISLOG.BO,,,
Amara Raja Batteries Ltd,AMARAJABAT.BO,,,
Ambalal Sarabhai Enterprise Ltd,AMBALALSA.BO,,,
Housing Development Finance Corporation Ltd,HDFC.BO,,,
Andhra Petrochemicals Ltd,ANDHRAPET.BO,,,
Ansal Properties & Infrastructure Ltd,ANSALAPI.BO,,,
UTIQUE ENTERPRISES Ltd,UTIQUE.BO,,,
Aruna Hotels Ltd,ARUNAHTEL.BO,,,
Bombay Dyeing & Mfg Co Ltd,BOMDYEING.BO,,,
Asian Hotels (North) Ltd,ASIANHOTNR.BO,,,
Atul Ltd,ATUL.BO,PO,,
ATV Projects India Ltd,ATVPR.BO,,,
Bajaj Electricals Ltd,BAJAJELEC.BO,,,
Bajaj Hindusthan Sugar Ltd,BAJAJHIND.BO,,,
Force Motors Ltd,FORCEMOT.BO,,,
Bajaj Finance Ltd,BAJFINANCE.BO,,,
Balrampur Chini Mills Ltd,BALRAMCHIN.BO,,,
Banco Products (India) Ltd,BANCOINDIA.BO,,,
Century Textiles & Industries Ltd,CENTURYTEX.BO,,,
Bannari Amman Sugars Ltd,BANARISUG.BO,,,
BASF India Ltd,BASF.BO,,,
Bata India Ltd,BATAINDIA.BO,,,
BEML Ltd,BEML.BO,,,
Bharat Electronics Ltd,BEL.BO,,,
Bhansali Engineering Polymers Ltd,BEPL.BO,,,
Bihar Sponge Iron Ltd,BIHSPONG.BO,,,
Birla Cable Ltd,BIRLACABLE.BO,,,
Blue Star Ltd,BLUESTARCO.BO,,,
Disa India Ltd,DISAQ.BO,,,
BNK Capital Markets Ltd,BNKCAP.BO,,,
BPL Ltd,BPL.BO,,,
ORIENTAL AROMATICS Ltd,OAL.BO,,,
Century Extrusions Ltd,CENTEXT.BO,,,
CESC Ltd,CESC.BO,,,
Chambal Fertilisers & Chemicals Ltd,CHAMBLFERT.BO,,,
Exide Industries Ltd,EXIDEIND.BO,,,
Cipla Ltd,CIPLA.BO,,,
DIC India Ltd,DICIND.BO,,,
CRISIL Ltd,CRISIL.BO,,,
CG Power and Industrial Solutions Ltd,CGPOWER.BO,,,
Dabur India Ltd,DABUR.BO,,,
Dalmia Bharat Sugar and Industries Ltd,DALMIASUG.BO,,,
Arvind Ltd,ARVIND.BO,,,
Bharat Heavy Electricals Ltd,BHEL.BO,,,
Hindustan Petroleum Corporation Ltd,HINDPETRO.BO,,,
IFCI Ltd,IFCI.BO,,,
Mahanagar Telephone Nigam Ltd,MTNL.BO,,,
Mangalore Refinery & Petrochemicals,MRPL.BO,,,
Chennai Petroleum Corporation Ltd,CHENNPETRO.BO,,,
Reliance Capital Ltd,RELCAPITAL.BO,,,
State Bank of India,SBIN.BO,,,
Steel Authority of India Ltd,SAIL.BO,,,
Titan Company Ltd,TITAN.BO,,,
IDBI Bank Ltd,IDBI.BO,,,
DCW Ltd,DCW.BO,,,
Dhampur Sugar Mills Ltd,DHAMPURSUG.BO,,,
Diamines & Chemicals Ltd,DIAMINESQ.BO,,,
Elantas Beck India Ltd,ELANTAS.BO,,,
Dr Reddy's Laboratories Ltd,DRREDDY.BO,,,
EID Parry (India) Ltd,EIDPARRY.BO,,,
PROCTER & GAMBLE HEALTH Ltd,PGHL.BO,,,
Electrosteel Castings Ltd,ELECTCAST.BO,,,
Esab India Ltd,ESABINDIA.BO,,,
EPL Ltd,EPL.BO,,,
Ester Industries Ltd,ESTER.BO,,,
FGP Ltd,FGP.BO,,,
PH Capital Ltd,PHCAP.BO,,,
Finolex Cables Ltd,FINCABLES.BO,,,
JOHN COCKERILL INDIA Ltd,COCKERILL.BO,,,
Uflex Ltd,UFLEX.BO,,,
Foseco India Ltd,FOSECOIND.BO,,,
Golden Tobacco Ltd,GOLDENTOBC.BO,,,
Ganesh Benzoplast Ltd,GANESHBE.BO,,,
Metroglobal Ltd,METROGLOBL.BO,,,
GTL Ltd,GTL.BO,,,
Godfrey Phillips India Ltd,GODFRYPHLP.BO,,,
Godrej Industries Ltd,GODREJIND.BO,,,
Kansai Nerolac Paints,KANSAINER.BO,,,
Goodricke Group Ltd,GOODRICKE.BO,,,
Goodyear India Ltd,GOODYEAR.BO,,,
GTN Industries Ltd,GTNINDS.BO,,,
GHCL Ltd,GHCL.BO,,,
GFL Ltd,GFLLtd.BO,,,
HCL Infosystems Ltd,HCL-INSYS.BO,,,
HDFC Bank Ltd,HDFCBANK.BO,,,
Hero MotoCorp Ltd,HEROMOTOCO.BO,,,
HFCL Ltd,HFCL.BO,,,
Himadri Speciality Chemical Ltd,HSCL.BO,,,
Hindustan Construction Co Ltd,HCC.BO,,,
Hindustan Oil Exploration Co Ltd,HINDOILEXP.BO,,,
HSIL Ltd,HSIL.BO,,,
Hindustan Zinc Ltd,HINDZINC.BO,,,
NXTDIGITAL Ltd ,NXTDIGITAL.BO,,,
HMT Ltd,HMT.BO,,,
Prag Bosimi Synthetics Ltd,PRAGBOS.BO,,,
HLV Ltd,HLVLTD.BO,,,
IG Petrochemicals Ltd,IGPL.BO,,,
India Glycols Ltd,INDIAGLYCO.BO,,,
India Lease Devl Ltd,INDLEASE.BO,,,
Margo Finance Ltd,MARGOFIN.BO,,,
Indo Rama Synthetics (India) Ltd,INDORAMA.BO,,,
Infosys Ltd,INFY.BO,,,
Ingersoll-Rand (India) Ltd,INGERRAND.BO,,,
Insilco Ltd,INSILCO.BO,,,
International Travel House Ltd,ITHL.BO,,,
Ion Exchange (India) Ltd,IONEXCHANG.BO,,,
Agro Tech Foods Ltd,ATFL.BO,,,
Jain Irrigation Systems Ltd,JISLJALEQS.BO,,,
Jasch Industries Ltd,JASCH.BO,,,
JCT Ltd,JCTLTD.BO,,,
Jindal Poly Films Ltd,JINDALPOLY.BO,,,
JSW Steel Ltd,JSWSTEEL.BO,,,
Umang Dairies Ltd,UMANGDAIR.BO,,,
