,Company Name,Symbol
0,Jubilant Ingrevia Limited,JUBLINGREA
1,Rallis India Limited,RALLIS
2,Avanti Feeds Limited,AVANTIFEED
3,Bajaj Electricals Limited,BAJAJELEC
4,CESC Limited,CESC
5,CEAT Limited,CEATLTD
6,GMM Pfaudler Limited,GMMPFAUDLR
7,Aarti Drugs Limited,AARTIDRUGS
8,Central Bank of India,CENTRALBK
9,Indian Overseas Bank,IOB
10,Computer Age Management Services Limited,CAMS
11,Indigo Paints Limited,INDIGOPNTS
12,Bank of Maharashtra,MAHABANK
13,PVR Limited,PVR
14,Chambal Fertilizers & Chemicals Limited,CHAMBLFERT
15,Rail Vikas Nigam Limited,RVNL
16,HEG Limited,HEG
17,JB Chemicals & Pharmaceuticals Limited,JBCHEPHARM
18,NBCC (India) Limited,NBCC
19,Anupam Rasayan India Limited,ANURAS
20,Wockhardt Limited,WOCKPHARMA
21,Amber Enterprises India Limited,AMBER
22,IDBI Bank Limited,IDBI
23,Can Fin Homes Limited,CANFINHOME
24,IDFC Limited,IDFC
25,Dilip Buildcon Limited,DBL
26,ROUTE MOBILE LIMITED,ROUTE
27,PNB Housing Finance Limited,PNBHOUSING
28,Multi Commodity Exchange of India Limited,MCX
30,Cyient Limited,CYIENT
31,Birla Corporation Limited,BIRLACORPN
32,Alok Industries Limited,ALOKINDS
33,UTI Asset Management Company Limited,UTIAMC
34,Happiest Minds Technologies Limited,HAPPSTMNDS
35,Balaji Amines Limited,BALAMINES
36,Indiabulls Housing Finance Limited,IBULHSGFIN
37,Sterlite Technologies Limited,STLTECH
38,Granules India Limited,GRANULES
39,Intellect Design Arena Limited,INTELLECT
41,Graphite India Limited,GRAPHITE
42,Indian Energy Exchange Limited,IEX
43,Radico Khaitan Limited,RADICO
44,MMTC Limited,MMTC
45,BIRLASOFT LIMITED,BSOFT
46,Central Depository Services (India) Limited,CDSL
47,Strides Pharma Science Limited,STAR
48,Firstsource Soluti Limited,FSL
49,Welspun India Limited,WELSPUNIND
