,Company Name,Symbols
0,Tube Investments of India Limited,TIINDIA.NS
1,Ashok Leyland Limited,ASHOKLEY.NS
2,Maruti Suzuki India Limited,MARUTI.NS
3,Bharat Forge Limited,BHARATFORG.NS
4,Eicher Motors Limited,EICHERMOT.NS
5,Exide Industries Limited,EXIDEIND.NS
6,key doesn't exist,TATAMOTORS.NS
7,Amara Raja Batteries Limited,AMARAJABAT.NS
8,Mahindra & Mahindra Limited,M&M.NS
9,MRF Limited,MRF.NS
10,Balkrishna Industries Limited,BALKRISIND.NS
11,Bajaj Auto Limited,BAJAJ-AUTO.NS
12,TVS Motor Company Limited,TVSMOTOR.NS
13,Bosch Limited,BOSCHLTD.NS
14,Hero MotoCorp Limited,HEROMOTOCO.NS
