,Company Name,Symbols
0,State Bank of India,SBIN.NS
1,Mahindra & Mahindra Financial Services Limited,M&MFIN.NS
2,Muthoot Finance Limited,MUTHOOTFIN.NS
3,Power Finance Corporation Limited,PFC.NS
4,Piramal Enterprises Limited,PEL.NS
5,Axis Bank Limited,AXISBANK.NS
6,Shriram Transport Finance Company Limited,SRTRANSFIN.NS
7,ICICI Lombard General Insurance Company Limited,ICICIGI.NS
8,SBI Life Insurance Company Limited,SBILIFE.NS
9,ICICI Prudential Life Insurance Company Limited,ICICIPRULI.NS
10,ICICI Bank Limited,ICICIBANK.NS
11,REC Limited,RECLTD.NS
12,Bajaj Finserv Limited,BAJAJFINSV.NS
13,Kotak Mahindra Bank Limited,KOTAKBANK.NS
14,Housing Development Finance Corporation Limited,HDFC.NS
15,Bajaj Finance Limited,BAJFINANCE.NS
16,HDFC Life Insurance Company Limited,HDFCLIFE.NS
17,HDFC Bank Limited,HDFCBANK.NS
18,Cholamandalam Investment and Finance Company Limited,CHOLAFIN.NS
19,HDFC Asset Management Company Limited,HDFCAMC.NS
