,Company Name,Symbols
0,Marico Limited,MARICO.NS
1,Dabur India Limited,DABUR.NS
2,Procter & Gamble Hygiene and Health Care Limited,PGHH.NS
3,Emami Limited,EMAMILTD.NS
4,Varun Beverages Limited,VBL.NS
5,Colgate Palmolive (India) Limited,COLPAL.NS
6,Nestle India Limited,NESTLEIND.NS
7,ITC Limited,ITC.NS
8,Hindustan Unilever Limited,HINDUNILVR.NS
9,Godrej Consumer Products Limited,GODREJCP.NS
10,Britannia Industries Limited,BRITANNIA.NS
11,Radico Khaitan Limited,RADICO.NS
12,United Spirits Limited,MCDOWELL-N.NS
13,United Breweries Limited,UBL.NS
14,TATA CONSUMER PRODUCTS LIMITED,TATACONSUM.NS
