,Company Name,Symbols
0,Vedanta Limited,VEDL.NS
1,Ratnamani Metals & Tubes Limited,RATNAMANI.NS
2,Hindustan Copper Limited,HINDCOPPER.NS
3,Hindustan Zinc Limited,HINDZINC.NS
4,Tata Steel Limited,TATASTEEL.NS
5,National Aluminium Company Limited,NATIONALUM.NS
6,Coal India Limited,COALINDIA.NS
7,NMDC Limited,NMDC.NS
8,Hindalco Industries Limited,HINDALCO.NS
9,Jindal Steel & Power Limited,JINDALSTEL.NS
10,JSW Steel Limited,JSWSTEEL.NS
11,APL Apollo Tubes Limited,APLAPOLLO.NS
12,Adani Enterprises Limited,ADANIENT.NS
13,Steel Authority of India Limited,SAIL.NS
14,Welspun Corp Limited,WELCORP.NS
