,Company Name,Symbols
0,InterGlobe Aviation Limited,INDIGO.NS
1,Bank of Baroda,BANKBARODA.NS
2,Adani Green Energy Limited,ADANIGREEN.NS
3,Vedanta Limited,VEDL.NS
4,Yes Bank Limited,YESBANK.NS
5,PI Industries Limited,PIIND.NS
6,Biocon Limited,BIOCON.NS
7,Hindustan Petroleum Corporation Limited,HINDPETRO.NS
8,GAIL (India) Limited,GAIL.NS
9,Punjab National Bank,PNB.NS
10,Ambuja Cements Limited,AMBUJACEM.NS
11,ACC Limited,ACC.NS
12,NMDC Limited,NMDC.NS
13,Siemens Limited,SIEMENS.NS
14,Bandhan Bank Limited,BANDHANBNK.NS
15,Muthoot Finance Limited,MUTHOOTFIN.NS
16,Marico Limited,MARICO.NS
17,Adani Transmission Limited,ADANITRANS.NS
18,Avenue Supermarts Limited,DMART.NS
19,Dabur India Limited,DABUR.NS
20,Jindal Steel & Power Limited,JINDALSTEL.NS
21,Indraprastha Gas Limited,IGL.NS
22,Procter & Gamble Hygiene and Health Care Limited,PGHH.NS
23,Indus Towers Limited,INDUSTOWER.NS
24,Piramal Enterprises Limited,PEL.NS
25,Jubilant Foodworks Limited,JUBLFOOD.NS
26,Bajaj Holdings & Investment Limited,BAJAJHLDNG.NS
27,Colgate Palmolive (India) Limited,COLPAL.NS
28,Info Edge (India) Limited,NAUKRI.NS
29,Gland Pharma Limited,GLAND.NS
30,Adani Enterprises Limited,ADANIENT.NS
31,Aurobindo Pharma Limited,AUROPHARMA.NS
32,Havells India Limited,HAVELLS.NS
33,Pidilite Industries Limited,PIDILITIND.NS
34,Berger Paints (I) Limited,BERGEPAINT.NS
35,ICICI Lombard General Insurance Company Limited,ICICIGI.NS
36,SBI Cards and Payment Services Limited,SBICARD.NS
37,Larsen & Toubro Infotech Limited,LTI.NS
38,ICICI Prudential Life Insurance Company Limited,ICICIPRULI.NS
39,Bosch Limited,BOSCHLTD.NS
40,Godrej Consumer Products Limited,GODREJCP.NS
41,Steel Authority of India Limited,SAIL.NS
42,Torrent Pharmaceuticals Limited,TORNTPHARM.NS
43,DLF Limited,DLF.NS
44,Cadila Healthcare Limited,CADILAHC.NS
45,United Spirits Limited,MCDOWELL-N.NS
46,Cholamandalam Investment and Finance Company Limited,CHOLAFIN.NS
47,HDFC Asset Management Company Limited,HDFCAMC.NS
48,Apollo Hospitals Enterprise Limited,APOLLOHOSP.NS
49,Lupin Limited,LUPIN.NS
