,Company Name,Symbols
0,Biocon Limited,BIOCON.NS
1,Laurus Labs Limited,LAURUSLABS.NS
2,Abbott India Limited,ABBOTINDIA.NS
3,Glenmark Pharmaceuticals Limited,GLENMARK.NS
4,Natco Pharma Limited,NATCOPHARM.NS
5,Sun Pharmaceutical Industries Limited,SUNPHARMA.NS
6,Alkem Laboratories Limited,ALKEM.NS
7,Dr. Reddy's Laboratories Limited,DRREDDY.NS
8,Cipla Limited,CIPLA.NS
9,Pfizer Limited,PFIZER.NS
10,Gland Pharma Limited,GLAND.NS
11,Aurobindo Pharma Limited,AUROPHARMA.NS
12,Alembic Pharmaceuticals Limited,APLLTD.NS
13,IPCA Laboratories Limited,IPCALAB.NS
14,Divi's Laboratories Limited,DIVISLAB.NS
15,Torrent Pharmaceuticals Limited,TORNTPHARM.NS
16,Granules India Limited,GRANULES.NS
17,Cadila Healthcare Limited,CADILAHC.NS
18,Strides Pharma Science Limited,STAR.NS
19,Lupin Limited,LUPIN.NS
