,Company Name,Symbols
0,20 Microns Limited,20MICRONS.NS
1,21st Century Management Services Limited,21STCENMGM.NS
2,3i Infotech Limited,3IINFOLTD.NS
3,3M India Limited,3MINDIA.NS
4,3P Land Holdings Limited,3PLAND.NS
5,5Paisa Capital Limited,5PAISA.NS
6,63 moons technologies limited,63MOONS.NS
7,A2Z Infra Engineering Limited,A2ZINFRA.NS
8,Aakash Exploration Services Limited,AAKASH.NS
9,Aarey Drugs & Pharmaceuticals Limited,AAREYDRUGS.NS
10,Aaron Industries Limited,AARON.NS
11,Aarti Drugs Limited,AARTIDRUGS.NS
12,Aarti Industries Limited,AARTIIND.NS
13,Aarti Surfactants Limited,AARTISURF.NS
14,Aarvee Denims & Exports Limited,AARVEEDEN.NS
15,Aarvi Encon Limited,AARVI.NS
16,Aavas Financiers Limited,AAVAS.NS
17,Aban Offshore Limited,ABAN.NS
18,ABB India Limited,ABB.NS
19,Abbott India Limited,ABBOTINDIA.NS
20,Aditya Birla Capital Limited,ABCAPITAL.NS
21,Aditya Birla Fashion and Retail Limited,ABFRL.NS
22,ABM International Limited,ABMINTLLTD.NS
23,Aditya Birla Sun Life AMC Limited,ABSLAMC.NS
24,ACC Limited,ACC.NS
25,Accelya Solutions India Limited,ACCELYA.NS
26,Accuracy Shipping Limited,ACCURACY.NS
27,Action Construction Equipment Limited,ACE.NS
28,Acrysil Limited,ACRYSIL.NS
29,Adani Enterprises Limited,ADANIENT.NS
30,Adani Green Energy Limited,ADANIGREEN.NS
31,Adani Ports and Special Economic Zone Limited,ADANIPORTS.NS
32,Adani Power Limited,ADANIPOWER.NS
33,Adani Transmission Limited,ADANITRANS.NS
34,ADF Foods Limited,ADFFOODS.NS
35,Archidply Decor Limited,ADL.NS
36,Ador Welding Limited,ADORWELD.NS
37,Adroit Infotech Limited,ADROITINFO.NS
38,Allied Digital Services Limited,ADSL.NS
39,Advani Hotels & Resorts (India) Limited,ADVANIHOTR.NS
40,Advanced Enzyme Technologies Limited,ADVENZYMES.NS
41,Aegis Logistics Limited,AEGISCHEM.NS
42,Affle (India) Limited,AFFLE.NS
43,Agarwal Industrial Corporation Limited,AGARIND.NS
44,Agri-Tech (India) Limited,AGRITECH.NS
45,Agro Phos India Limited,AGROPHOS.NS
46,Ahlada Engineers Limited,AHLADA.NS
47,Asian Hotels (East) Limited,AHLEAST.NS
48,Ahluwalia Contracts (India) Limited,AHLUCONT.NS
49,AIA Engineering Limited,AIAENG.NS
50,Airan Limited,AIRAN.NS
51,Airo Lam limited,AIROLAM.NS
52,Ajanta Pharma Limited,AJANTPHARM.NS
53,Ajmera Realty & Infra India Limited,AJMERA.NS
54,Ajooni Biotech Limited,AJOONI.NS
55,AJR INFRA AND TOLLING LIMITED,AJRINFRA.NS
56,Akash Infra-Projects Limited,AKASH.NS
57,Akg Exim Limited,AKG.NS
58,AksharChem India Limited,AKSHARCHEM.NS
59,Aksh Optifibre Limited,AKSHOPTFBR.NS
60,Akzo Nobel India Limited,AKZOINDIA.NS
61,Alankit Limited,ALANKIT.NS
62,Albert David Limited,ALBERTDAVD.NS
63,Alembic Limited,ALEMBICLTD.NS
64,Alicon Castalloy Limited,ALICON.NS
65,Alkali Metals Limited,ALKALI.NS
66,Alkem Laboratories Limited,ALKEM.NS
